user_id,signup_time,country,platform_pref
1,2025-11-13 18:00:00,DE,web
2,2025-12-21 04:00:00,IN,desktop
3,2025-12-03 07:00:00,JP,desktop
4,2025-11-25 06:00:00,GB,web
5,2025-11-02 13:00:00,SG,web
6,2025-11-02 23:00:00,BR,web
7,2025-10-29 22:00:00,US,desktop
8,2025-12-13 02:00:00,US,web
9,2025-11-25 17:00:00,GB,web
10,2025-12-02 15:00:00,US,desktop
11,2025-10-27 22:00:00,IN,web
12,2025-12-22 18:00:00,BR,desktop
13,2025-12-11 18:00:00,BR,web
14,2025-11-05 17:00:00,DE,web
15,2025-11-03 19:00:00,US,desktop
16,2025-11-03 15:00:00,IN,web
17,2025-11-09 07:00:00,DE,web
18,2025-11-21 00:00:00,JP,desktop
19,2025-11-16 16:00:00,GB,web
20,2025-11-09 11:00:00,SG,desktop
21,2025-11-26 20:00:00,CA,desktop
22,2025-11-02 10:00:00,BR,web
23,2025-11-09 04:00:00,US,web
24,2025-11-12 11:00:00,DE,desktop
25,2025-11-17 16:00:00,DE,web
26,2025-12-07 05:00:00,DE,web
27,2025-11-04 00:00:00,IN,desktop
28,2025-11-20 04:00:00,BR,web
29,2025-11-25 13:00:00,IN,desktop
30,2025-10-28 04:00:00,BR,web
31,2025-11-25 21:00:00,US,web
32,2025-11-03 23:00:00,AU,web
33,2025-10-29 00:00:00,US,desktop
34,2025-12-20 17:00:00,US,desktop
35,2025-12-22 15:00:00,IN,desktop
36,2025-12-09 08:00:00,DE,web
37,2025-11-09 18:00:00,IN,web
38,2025-10-31 21:00:00,US,web
39,2025-11-30 04:00:00,BR,web
40,2025-11-16 01:00:00,IN,desktop
41,2025-11-01 14:00:00,SG,desktop
42,2025-11-19 06:00:00,SG,web
43,2025-10-28 03:00:00,IN,desktop
44,2025-12-17 00:00:00,IN,web
45,2025-11-07 12:00:00,GB,desktop
46,2025-11-29 19:00:00,US,web
47,2025-11-10 21:00:00,IN,web
48,2025-11-20 06:00:00,IN,web
49,2025-11-22 14:00:00,SG,web
50,2025-11-04 22:00:00,US,desktop
51,2025-12-22 13:00:00,BR,web
52,2025-12-06 22:00:00,GB,web
53,2025-12-20 18:00:00,IN,desktop
54,2025-12-16 21:00:00,US,desktop
55,2025-11-25 23:00:00,JP,desktop
56,2025-12-18 19:00:00,BR,web
57,2025-10-30 23:00:00,DE,desktop
58,2025-11-04 17:00:00,US,desktop
59,2025-10-28 09:00:00,IN,web
60,2025-11-10 08:00:00,IN,web
61,2025-11-13 07:00:00,US,web
62,2025-11-08 09:00:00,US,web
63,2025-12-10 16:00:00,AU,web
64,2025-11-12 01:00:00,US,web
65,2025-11-08 05:00:00,US,desktop
66,2025-11-22 04:00:00,IN,desktop
67,2025-11-02 08:00:00,CA,desktop
68,2025-12-08 04:00:00,US,desktop
69,2025-10-30 17:00:00,BR,web
70,2025-12-24 19:00:00,US,desktop
71,2025-12-06 08:00:00,US,desktop
72,2025-11-04 16:00:00,US,web
73,2025-10-27 16:00:00,AU,desktop
74,2025-12-09 11:00:00,US,desktop
75,2025-12-02 06:00:00,US,web
76,2025-12-03 02:00:00,IN,desktop
77,2025-12-06 09:00:00,AU,web
78,2025-10-30 01:00:00,US,web
79,2025-11-12 02:00:00,IN,web
80,2025-10-31 15:00:00,US,desktop
81,2025-12-13 01:00:00,IN,desktop
82,2025-11-26 23:00:00,BR,desktop
83,2025-11-10 09:00:00,BR,web
84,2025-10-29 05:00:00,IN,web
85,2025-11-09 21:00:00,IN,desktop
86,2025-11-10 10:00:00,US,desktop
87,2025-12-03 22:00:00,IN,web
88,2025-11-27 06:00:00,US,web
89,2025-12-15 14:00:00,CA,desktop
90,2025-11-18 05:00:00,JP,desktop
91,2025-11-01 19:00:00,JP,web
92,2025-12-02 08:00:00,SG,web
93,2025-12-05 21:00:00,DE,desktop
94,2025-11-23 19:00:00,GB,desktop
95,2025-12-06 11:00:00,US,web
96,2025-11-19 18:00:00,DE,web
97,2025-11-21 19:00:00,IN,desktop
98,2025-11-15 02:00:00,IN,web
99,2025-10-28 14:00:00,CA,web
100,2025-10-31 01:00:00,US,web
101,2025-10-28 20:00:00,IN,web
102,2025-11-27 01:00:00,SG,desktop
103,2025-11-10 21:00:00,US,web
104,2025-11-20 02:00:00,IN,desktop
105,2025-12-17 05:00:00,SG,web
106,2025-11-07 14:00:00,DE,web
107,2025-11-14 09:00:00,BR,web
108,2025-12-05 08:00:00,US,desktop
109,2025-11-06 00:00:00,IN,desktop
110,2025-10-30 15:00:00,AU,web
111,2025-11-08 05:00:00,BR,desktop
112,2025-11-02 08:00:00,IN,desktop
113,2025-12-19 03:00:00,US,desktop
114,2025-12-09 01:00:00,US,web
115,2025-11-27 03:00:00,JP,desktop
116,2025-12-14 00:00:00,IN,web
117,2025-12-08 18:00:00,DE,web
118,2025-11-04 09:00:00,US,desktop
119,2025-12-15 20:00:00,GB,web
120,2025-11-21 14:00:00,SG,web
121,2025-12-09 21:00:00,BR,web
122,2025-12-16 18:00:00,US,desktop
123,2025-11-10 15:00:00,BR,desktop
124,2025-10-31 20:00:00,CA,web
125,2025-11-06 23:00:00,IN,desktop
126,2025-11-15 21:00:00,SG,web
127,2025-12-09 03:00:00,DE,web
128,2025-12-13 01:00:00,SG,desktop
129,2025-10-27 12:00:00,DE,web
130,2025-11-20 00:00:00,US,web
131,2025-11-15 16:00:00,IN,web
132,2025-11-05 12:00:00,US,desktop
133,2025-11-01 03:00:00,SG,web
134,2025-11-11 06:00:00,CA,desktop
135,2025-12-20 16:00:00,GB,desktop
136,2025-11-10 08:00:00,IN,web
137,2025-11-20 03:00:00,US,desktop
138,2025-12-01 18:00:00,CA,web
139,2025-11-12 00:00:00,IN,web
